&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/030_7Nb_NDload_725C_15mms_23_02_2017-165437/pixi_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	0.001761	0.227787	0.002261
00002	0.001838	0.227536	0.002243
00003	0.001745	0.225708	0.002198
00004	0.001635	0.221912	0.002045
00005	0.001597	0.218963	0.002057
00006	0.001703	0.213385	0.002102
00007	0.001876	0.206550	0.002124
00008	0.001859	0.200482	0.002088
00009	0.001809	0.193821	0.002089
00010	0.001846	0.189306	0.002096
00011	0.001499	0.184975	0.002106
00012	0.001271	0.178166	0.002155
00013	0.001560	0.173550	0.002115
00014	0.001367	0.168318	0.002132
00015	0.001336	0.165096	0.002119
00016	0.001476	0.162283	0.002007
00017	0.001337	0.158785	0.001954
00018	0.001144	0.157130	0.001939
00019	0.000866	0.156856	0.001835
00020	0.000735	0.155744	0.001742
00021	0.000453	0.154873	0.001539
00022	0.000535	0.153309	0.001321
00023	0.000593	0.151516	0.001181
00024	0.000335	0.151537	0.001020
00025	-0.000088	0.150583	0.000866
00026	-0.000363	0.149460	0.000761
00027	-0.000403	0.149271	0.000709
00028	-0.000403	0.148348	0.000898
00029	0.000206	0.147368	0.001163
00030	0.000430	0.145850	0.001562
00031	0.001014	0.145739	0.001973
00032	0.001157	0.145210	0.002216
00033	0.001110	0.145941	0.002346
00034	0.001265	0.145314	0.002413
00035	0.001282	0.144331	0.002538
00036	0.001389	0.143230	0.002506
00037	0.001462	0.143240	0.002565
00038	0.001384	0.143992	0.002495
00039	0.001036	0.145580	0.002444
00040	0.000986	0.149104	0.002428
00041	0.000859	0.154113	0.002409
00042	0.000898	0.160733	0.002371
00043	0.001118	0.166272	0.002383
00044	0.001191	0.173115	0.002279
00045	0.000625	0.177086	0.002255
00046	0.000637	0.182114	0.002307
00047	0.000814	0.186360	0.002195
00048	0.000707	0.191321	0.002117
00049	0.000658	0.196133	0.002065
00050	0.000688	0.201056	0.002084
00051	0.000327	0.203947	0.002087
00052	0.000398	0.206925	0.002126
00053	0.000309	0.208694	0.002175
00054	0.000729	0.212060	0.002047
00055	0.000693	0.214545	0.002019
00056	0.000598	0.215869	0.002154
00057	0.000900	0.215206	0.002197
00058	0.000640	0.214187	0.002056
00059	0.000878	0.214402	0.002116
00060	0.000578	0.214950	0.002069
00061	0.000451	0.216919	0.001919
00062	0.000201	0.217074	0.001862
00063	0.000010	0.217258	0.001820
00064	-0.000142	0.217157	0.001733
00065	-0.000346	0.217712	0.001546
00066	-0.000830	0.218977	0.001288
00067	-0.000751	0.220109	0.001110
00068	-0.001065	0.220034	0.000933
00069	-0.001156	0.221744	0.000814
00070	-0.001187	0.221563	0.000786
00071	-0.001277	0.223443	0.000845
00072	-0.000686	0.223360	0.001026
00073	-0.000759	0.226129	0.001299
00074	-0.000251	0.224483	0.001610
00075	0.000496	0.223984	0.002071
00076	0.001054	0.220112	0.002197
00077	0.000816	0.215561	0.002393
00078	0.000710	0.211964	0.002485
00079	0.000561	0.204922	0.002438
00080	0.000774	0.201368	0.002471
00081	0.001002	0.195068	0.002634
00082	0.000777	0.190574	0.002436
00083	0.000773	0.184496	0.002405
00084	0.000614	0.179383	0.002428
00085	0.000322	0.174802	0.002388
00086	0.000287	0.170457	0.002421
00087	0.000308	0.166361	0.002269
00088	0.000333	0.161943	0.002239
00089	0.000454	0.159329	0.002327
00090	0.000716	0.157035	0.002207
00091	0.000513	0.155889	0.002184
00092	0.000341	0.152905	0.002123
00093	0.000700	0.154040	0.002075
00094	0.000351	0.152864	0.002021
00095	0.000151	0.152669	0.002040
00096	0.000496	0.152317	0.002065
00097	0.000410	0.151444	0.001976
00098	-0.000189	0.150111	0.002035
00099	0.000090	0.149777	0.002081
00100	0.000477	0.151746	0.002066
00101	0.000335	0.150557	0.002045
00102	0.000143	0.148514	0.002026
00103	0.000001	0.147819	0.001988
00104	-0.000139	0.147210	0.001872
00105	-0.000218	0.145834	0.001920
00106	-0.000296	0.145614	0.001831
00107	-0.000704	0.144698	0.001783
00108	-0.000356	0.141653	0.001466
00109	-0.001012	0.142030	0.001393
00110	-0.000952	0.141091	0.001244
00111	-0.001376	0.139932	0.001099
00112	-0.001460	0.140390	0.000917
00113	-0.001371	0.140673	0.000844
00114	-0.001278	0.142563	0.000781
00115	-0.001202	0.146328	0.000907
00116	-0.001306	0.149002	0.001021
00117	-0.001021	0.154844	0.001425
00118	-0.000566	0.158113	0.001739
00119	-0.000505	0.165428	0.002005
00120	-0.000235	0.172321	0.002242
00121	-0.000150	0.175634	0.002348
00122	0.000014	0.182739	0.002461
00123	0.000177	0.183503	0.002470
00124	0.000166	0.189117	0.002477
00125	0.000144	0.192329	0.002554
00126	-0.000512	0.194183	0.002478
00127	-0.000578	0.202068	0.002525
00128	-0.000199	0.203728	0.002413
00129	-0.000704	0.206029	0.002415
00130	-0.000568	0.210202	0.002335
00131	-0.000321	0.208691	0.002319
00132	-0.000585	0.211029	0.002229
00133	-0.000911	0.215358	0.002187
00134	-0.000513	0.213831	0.002183
00135	-0.000428	0.214422	0.002065
00136	-0.000594	0.214808	0.002159
00137	-0.000951	0.214437	0.002052
00138	-0.000511	0.214942	0.002048
00139	-0.001003	0.216297	0.002037
00140	-0.000769	0.216147	0.002025
00141	-0.000929	0.216534	0.002122
00142	-0.001136	0.217548	0.002020
00143	-0.001172	0.224275	0.002011
00144	-0.001252	0.228308	0.002047
00145	-0.001323	0.228588	0.002046
00146	-0.001587	0.232859	0.002025
00147	-0.001802	0.235272	0.002117
00148	-0.001997	0.238324	0.001996
00149	-0.002446	0.240993	0.001963
00150	-0.003125	0.242423	0.001904
00151	-0.003543	0.243439	0.001733
00152	-0.004700	0.244993	0.001513
00153	-0.005245	0.248512	0.001217
00154	-0.005915	0.252184	0.001172
00155	-0.007115	0.254927	0.001064
00156	-0.008340	0.254618	0.000839
00157	-0.009362	0.256750	0.000803
00158	-0.010202	0.256843	0.000794
00159	-0.011339	0.256524	0.000912
00160	-0.012513	0.253755	0.001267
00161	-0.013822	0.253309	0.001934
00162	-0.014659	0.250384	0.002334
00163	-0.016178	0.248849	0.002654
00164	-0.017953	0.252357	0.002815
00165	-0.019313	0.253005	0.002848
00166	-0.016478	0.258879	0.002998
00167	-0.006561	0.260664	0.003336
00168	-0.004581	0.263972	0.003312
00169	-0.004344	0.265372	0.003391
00170	-0.003002	0.266053	0.003569
00171	0.000726	0.269290	0.003702
00172	-0.000841	0.272247	0.003703
00173	-0.002345	0.274785	0.003683
00174	-0.002491	0.276542	0.003620
00175	-0.004380	0.281922	0.003668
00176	-0.004862	0.286169	0.003870
00177	-0.002434	0.290407	0.003834
00178	0.001278	0.294996	0.003934
00179	0.002436	0.298451	0.004168
00180	0.003204	0.301468	0.004283
00181	0.001812	0.305750	0.004570
00182	-0.002180	0.311285	0.004533
00183	-0.005603	0.312778	0.004523
00184	-0.006060	0.314473	0.004630
00185	-0.001772	0.319459	0.004891
00186	0.000403	0.322737	0.005028
00187	0.001046	0.324615	0.005223
00188	-0.000186	0.327467	0.005383
00189	0.000069	0.331569	0.005653
00190	-0.002201	0.337456	0.005679
00191	-0.003831	0.342935	0.005798
00192	-0.003105	0.346603	0.005976
00193	0.000042	0.351332	0.006004
00194	0.000742	0.356348	0.006214
00195	-0.002193	0.362926	0.006296
00196	-0.002545	0.369787	0.006408
00197	0.001981	0.375272	0.006321
00198	0.004786	0.383820	0.006326
00199	0.000488	0.391301	0.006247
00200	-0.005160	0.400537	0.006401
00201	-0.007123	0.411022	0.006373
00202	-0.000101	0.422789	0.006672
00203	0.008019	0.430827	0.007365
00204	0.004434	0.440659	0.007637
00205	-0.000926	0.450082	0.008002
00206	-0.006318	0.458883	0.008281
00207	-0.009643	0.465603	0.008665
00208	-0.004071	0.471218	0.009147
00209	0.004465	0.477156	0.009401
00210	0.001420	0.485658	0.009563
00211	-0.002995	0.493375	0.009766
00212	-0.002548	0.499428	0.009931
00213	0.001700	0.507207	0.010129
00214	0.001092	0.513603	0.010107
00215	-0.002269	0.520240	0.010317
00216	-0.000945	0.526166	0.010495
00217	0.003660	0.530521	0.010612
00218	0.002582	0.536457	0.010752
00219	-0.001910	0.541089	0.010661
00220	-0.005148	0.546997	0.010828
00221	-0.001101	0.552211	0.011212
00222	0.004630	0.556239	0.011371
00223	0.002734	0.562103	0.011535
00224	-0.002017	0.567096	0.011759
00225	-0.006081	0.572754	0.011720
00226	-0.003388	0.580441	0.011930
00227	0.002025	0.587870	0.012395
00228	0.001502	0.593564	0.012630
00229	-0.002327	0.597756	0.012643
00230	-0.003464	0.604668	0.012641
00231	0.001693	0.611639	0.012825
00232	0.004132	0.616613	0.013174
00233	-0.000011	0.620826	0.013372
00234	-0.004361	0.625053	0.013368
00235	-0.005237	0.631513	0.013420
00236	-0.001581	0.637343	0.013554
00237	0.002076	0.640957	0.013814
00238	0.001046	0.641854	0.013871
00239	-0.002725	0.643518	0.013738
00240	-0.003471	0.645182	0.013820
00241	-0.003202	0.647242	0.013825
00242	0.000074	0.647385	0.013833
00243	0.001348	0.647035	0.013793
00244	-0.000570	0.648480	0.013704
00245	-0.002765	0.650018	0.013893
00246	-0.004977	0.651099	0.014094
00247	-0.000500	0.652482	0.014448
00248	0.002414	0.653950	0.014822
00249	0.003165	0.655566	0.015419
00250	0.001265	0.659145	0.015891
00251	-0.003115	0.663752	0.016131
00252	-0.001119	0.667875	0.016440
00253	-0.000833	0.671156	0.016576
00254	-0.003504	0.673718	0.016633
00255	-0.003015	0.676887	0.016907
00256	0.003530	0.679530	0.017054
00257	0.004636	0.680459	0.017310
00258	0.000329	0.683792	0.017475
00259	-0.003786	0.688547	0.017463
00260	-0.002945	0.691849	0.017665
00261	0.001948	0.695598	0.017749
00262	0.001540	0.699659	0.017988
00263	-0.001771	0.703689	0.018063
00264	-0.002104	0.707023	0.017995
00265	0.001088	0.711775	0.018193
00266	0.002573	0.713906	0.018524
00267	0.000469	0.717235	0.018666
00268	-0.002071	0.722427	0.018652
00269	0.002022	0.725527	0.018894
00270	0.001552	0.728185	0.019067
00271	-0.002427	0.731970	0.019317
00272	-0.005019	0.735594	0.019405
00273	-0.002205	0.739191	0.019640
00274	0.002620	0.742157	0.019759
00275	0.002298	0.746094	0.019958
00276	-0.001187	0.748876	0.020068
00277	-0.003936	0.752093	0.020130
00278	-0.002986	0.756594	0.020400
00279	0.000685	0.760885	0.020388
00280	0.001311	0.763560	0.020626
00281	-0.000869	0.766962	0.020756
00282	-0.002766	0.772071	0.020633
00283	0.000453	0.776081	0.020727
00284	0.001343	0.781608	0.020916
00285	-0.001828	0.787743	0.020846
00286	-0.004858	0.792566	0.020663
00287	0.000312	0.798456	0.020841
00288	0.002371	0.807293	0.020810
00289	-0.000327	0.813627	0.021089
00290	-0.004176	0.820723	0.021316
00291	-0.001425	0.827801	0.021623
00292	-0.001163	0.834066	0.022227
00293	-0.002305	0.841397	0.022638
00294	-0.000545	0.846536	0.023225
00295	0.002056	0.852590	0.023486
00296	0.000783	0.857216	0.023548
00297	-0.002221	0.862009	0.023838
00298	-0.004372	0.866281	0.023998
00299	0.001148	0.870941	0.024234
00300	0.004968	0.876283	0.024307
00301	0.002827	0.881853	0.024300
00302	-0.001526	0.887523	0.024575
00303	-0.004534	0.891829	0.024644
00304	-0.003555	0.898289	0.024661
00305	0.004045	0.900082	0.024829
00306	0.007323	0.903698	0.025224
00307	0.006195	0.907341	0.025182
00308	0.002058	0.910949	0.025118
00309	-0.003028	0.913873	0.025130
00310	-0.007071	0.917816	0.025501
00311	-0.007532	0.923530	0.025526
00312	0.004935	0.927614	0.025846
00313	0.005995	0.930385	0.026158
00314	0.002009	0.934100	0.026304
00315	-0.002492	0.939425	0.026229
00316	-0.005919	0.944768	0.026253
00317	-0.003339	0.949673	0.026612
00318	0.001012	0.951936	0.026627
00319	0.000908	0.957597	0.027008
00320	-0.001169	0.961712	0.027101
00321	-0.001613	0.965705	0.027020
00322	0.000248	0.969032	0.027443
00323	0.001600	0.973474	0.027398
00324	-0.001153	0.979341	0.027294
00325	-0.002466	0.984128	0.027636
00326	0.000032	0.986170	0.027545
00327	-0.001004	0.990554	0.027786
00328	-0.003008	0.992420	0.027614
00329	0.000225	0.996681	0.027400
00330	-0.000368	0.999471	0.027673
