&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/038_7Nb_TDload_650C_15mms_23_02_2017-221430/pixi_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	-0.002367	0.145925	0.043824
00002	-0.001755	0.146150	0.043885
00003	-0.001623	0.145437	0.043850
00004	-0.001769	0.144559	0.043848
00005	-0.002093	0.145355	0.043769
00006	-0.001986	0.143503	0.043733
00007	-0.002124	0.142136	0.043711
00008	-0.002289	0.141813	0.043623
00009	-0.002665	0.141901	0.043436
00010	-0.002716	0.141808	0.043241
00011	-0.002753	0.139460	0.043104
00012	-0.002943	0.138236	0.043003
00013	-0.002704	0.139537	0.042836
00014	-0.003019	0.138120	0.042776
00015	-0.002884	0.137508	0.042859
00016	-0.002671	0.136812	0.042907
00017	-0.002675	0.137322	0.043121
00018	-0.002270	0.138081	0.043386
00019	-0.001847	0.139047	0.043644
00020	-0.001563	0.139654	0.043892
00021	-0.001545	0.139495	0.043972
00022	-0.001384	0.141452	0.043972
00023	-0.001433	0.142538	0.044053
00024	-0.001436	0.145015	0.044087
00025	-0.000915	0.145372	0.044089
00026	-0.000872	0.147762	0.044097
00027	-0.001181	0.149408	0.044075
00028	-0.001088	0.153825	0.044060
00029	-0.000922	0.155553	0.044071
00030	-0.000959	0.158524	0.044012
00031	-0.001019	0.159866	0.043997
00032	-0.001123	0.162813	0.043928
00033	-0.001102	0.168048	0.043863
00034	-0.001127	0.170119	0.043857
00035	-0.001362	0.173048	0.043862
00036	-0.001323	0.175292	0.043852
00037	-0.001171	0.177348	0.043904
00038	-0.000575	0.180983	0.043904
00039	-0.000547	0.183352	0.043871
00040	-0.000427	0.185547	0.043798
00041	-0.000366	0.188807	0.043794
00042	-0.000335	0.192316	0.043842
00043	-0.000203	0.194759	0.043883
00044	-0.000323	0.197088	0.043887
00045	-0.000357	0.199594	0.043900
00046	-0.000392	0.201545	0.043878
00047	-0.000292	0.202610	0.043816
00048	-0.000183	0.204100	0.043784
00049	-0.000236	0.206358	0.043801
00050	-0.000299	0.207865	0.043754
00051	-0.000453	0.208677	0.043678
00052	-0.000600	0.208907	0.043563
00053	-0.000733	0.209764	0.043439
00054	-0.000922	0.209469	0.043322
00055	-0.001251	0.210800	0.043131
00056	-0.001488	0.211117	0.042999
00057	-0.001345	0.209876	0.042919
00058	-0.001470	0.210712	0.042851
00059	-0.001771	0.211558	0.042875
00060	-0.001606	0.212882	0.043004
00061	-0.000973	0.213793	0.043178
00062	-0.000622	0.213284	0.043474
00063	-0.000607	0.213850	0.043795
00064	-0.000374	0.214926	0.043919
00065	-0.000224	0.215537	0.044050
