&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/046_ZrY2Nb_TDheat_1100C_5Cs_24_02_2017-122528/pixi_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	0.000287	0.141173	0.069780
00002	0.000066	0.140263	0.069656
00003	-0.000132	0.140332	0.069625
00004	-0.000367	0.141345	0.069470
00005	-0.000529	0.142241	0.069312
00006	-0.000493	0.140737	0.069096
00007	-0.000733	0.140292	0.068945
00008	-0.001021	0.139692	0.068824
00009	-0.001182	0.139523	0.068687
00010	-0.001154	0.139951	0.068606
00011	-0.001084	0.141093	0.068644
00012	-0.000942	0.141197	0.068856
00013	-0.000477	0.141117	0.069168
00014	0.000161	0.142867	0.069444
00015	0.000399	0.143891	0.069728
00016	0.000892	0.142905	0.069922
00017	0.001196	0.143423	0.070014
00018	0.000897	0.143371	0.070065
00019	0.001116	0.144789	0.070121
00020	0.001401	0.145802	0.070106
00021	0.000886	0.145387	0.070083
00022	0.001074	0.143089	0.070080
00023	0.001057	0.143491	0.070109
00024	0.001026	0.145367	0.070071
00025	0.001158	0.142912	0.070037
00026	0.000977	0.145074	0.070006
00027	0.000717	0.143234	0.070033
00028	0.000514	0.142551	0.069962
00029	0.000538	0.142262	0.069896
00030	0.000748	0.143817	0.069807
00031	0.000818	0.144565	0.069847
00032	0.000587	0.143813	0.069876
00033	0.000380	0.144438	0.069856
00034	0.000654	0.144315	0.069873
00035	0.000871	0.143722	0.069890
00036	0.000714	0.143691	0.069882
00037	0.000547	0.143087	0.069838
00038	0.000664	0.143829	0.069830
00039	0.000654	0.143739	0.069806
00040	0.000740	0.143765	0.069832
00041	0.000618	0.142939	0.069820
00042	0.000882	0.143611	0.069842
00043	0.000489	0.144554	0.069840
00044	0.000399	0.144994	0.069802
00045	0.000304	0.145398	0.069728
00046	0.000579	0.143557	0.069688
00047	0.000707	0.145354	0.069631
00048	0.000349	0.143779	0.069490
00049	0.000207	0.145773	0.069309
00050	-0.000098	0.142653	0.069128
00051	-0.000526	0.145085	0.068995
00052	-0.000688	0.144539	0.068832
00053	-0.000590	0.147189	0.068676
00054	-0.000820	0.145259	0.068650
00055	-0.000316	0.146575	0.068707
00056	0.000118	0.147615	0.068911
00057	0.000419	0.148965	0.069237
00058	0.000462	0.150484	0.069605
00059	0.001110	0.149570	0.069865
00060	0.000996	0.151539	0.069952
00061	0.001309	0.152137	0.070119
00062	0.001425	0.151779	0.070132
00063	0.001387	0.151706	0.070124
00064	0.001500	0.153613	0.070076
00065	0.001187	0.154274	0.070168
00066	0.001207	0.154804	0.070145
00067	0.001491	0.155912	0.070142
00068	0.001418	0.156537	0.070098
00069	0.001212	0.157842	0.070034
00070	0.001310	0.155776	0.069976
00071	0.001657	0.156723	0.069959
00072	0.001315	0.159486	0.069940
00073	0.001270	0.159617	0.069896
00074	0.000878	0.160141	0.069938
00075	0.000691	0.159913	0.069903
00076	0.000950	0.160877	0.069872
00077	0.001101	0.159585	0.069894
00078	0.000961	0.161726	0.069874
00079	0.000862	0.161012	0.069901
00080	0.000888	0.164646	0.069877
00081	0.000852	0.163734	0.069939
00082	0.001084	0.163997	0.069894
00083	0.000884	0.165610	0.069961
00084	0.001056	0.164494	0.069928
00085	0.000888	0.166891	0.069922
00086	0.001004	0.166333	0.069843
00087	0.000704	0.165991	0.069890
00088	0.000871	0.166424	0.069853
00089	0.000929	0.168139	0.069736
00090	0.001012	0.170298	0.069749
00091	0.000494	0.170445	0.069610
00092	0.000168	0.168826	0.069452
00093	-0.000074	0.168282	0.069350
00094	-0.000329	0.170596	0.069085
00095	-0.000590	0.174085	0.068903
00096	-0.000548	0.174229	0.068787
00097	-0.000742	0.173734	0.068701
00098	-0.000753	0.175276	0.068782
00099	-0.000873	0.177980	0.068821
00100	-0.000630	0.178711	0.068988
00101	-0.000020	0.181631	0.069278
00102	0.000307	0.180449	0.069585
00103	0.000926	0.184951	0.069871
00104	0.000970	0.185528	0.070024
00105	0.000573	0.185973	0.070052
00106	0.000898	0.188713	0.070096
00107	0.000756	0.186114	0.070147
00108	0.000690	0.188220	0.070187
00109	0.000593	0.189983	0.070124
00110	0.000543	0.193397	0.070135
00111	0.000759	0.193330	0.070158
00112	0.000555	0.194950	0.070016
00113	0.000589	0.195530	0.069967
00114	0.000484	0.197143	0.069994
00115	0.000281	0.199243	0.070001
00116	0.000176	0.200298	0.069940
00117	0.000309	0.201752	0.069905
00118	0.000349	0.202976	0.069913
00119	0.000230	0.203222	0.069913
00120	0.000423	0.203768	0.069889
00121	0.000412	0.205201	0.069881
00122	0.000560	0.205755	0.069806
00123	0.000386	0.207172	0.069833
00124	0.000264	0.208302	0.069855
00125	0.000246	0.208681	0.069826
00126	0.000584	0.210522	0.069878
00127	0.000330	0.211321	0.069929
00128	0.000195	0.211286	0.069840
