&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/046_7Nb_TDheat_1100C_5Cs_24_02_2017-125413/pixium_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	0.002637	0.139915	0.048979
00002	0.004393	0.138078	0.048959
00003	0.004409	0.137885	0.048875
00004	0.004408	0.139413	0.048786
00005	0.004370	0.138779	0.048794
00006	0.004356	0.140451	0.048791
00007	0.004175	0.139275	0.048760
00008	0.004247	0.141015	0.048773
00009	0.004258	0.140524	0.048805
00010	0.004492	0.140469	0.048769
00011	0.004546	0.140262	0.048698
00012	0.004497	0.139766	0.048743
00013	0.004443	0.141427	0.048793
00014	0.004407	0.141530	0.048779
00015	0.004064	0.139736	0.048772
00016	0.004155	0.140170	0.048758
00017	0.004245	0.141042	0.048762
00018	0.004213	0.141233	0.048759
00019	0.004204	0.141735	0.048759
00020	0.004279	0.140878	0.048726
00021	0.004115	0.142345	0.048667
00022	0.003797	0.142879	0.048607
00023	0.003567	0.141919	0.048555
00024	0.003254	0.143392	0.048444
00025	0.002928	0.141824	0.048283
00026	0.002904	0.142334	0.048108
00027	0.002862	0.141921	0.047957
00028	0.002669	0.141539	0.047785
00029	0.002449	0.142985	0.047663
00030	0.002439	0.141069	0.047622
00031	0.002646	0.141641	0.047781
00032	0.002918	0.143153	0.047986
00033	0.003111	0.146551	0.048233
00034	0.003406	0.145111	0.048494
00035	0.003755	0.145687	0.048760
00036	0.003845	0.145313	0.048888
00037	0.003681	0.146511	0.048949
00038	0.003818	0.147191	0.048955
00039	0.003685	0.145537	0.048974
00040	0.003651	0.146152	0.049013
00041	0.003813	0.146401	0.049042
00042	0.003827	0.146789	0.049002
00043	0.003365	0.148215	0.049003
00044	0.003365	0.150094	0.048940
00045	0.003365	0.149852	0.048925
00046	0.003350	0.150509	0.048933
00047	0.003367	0.150642	0.048909
00048	0.003159	0.151473	0.048899
00049	0.003211	0.151801	0.048831
00050	0.003200	0.151447	0.048791
00051	0.003120	0.152165	0.048869
00052	0.003104	0.153373	0.048837
00053	0.003162	0.153460	0.048806
00054	0.003013	0.152432	0.048776
00055	0.002891	0.152567	0.048772
00056	0.002889	0.152522	0.048768
00057	0.002945	0.153609	0.048744
00058	0.003084	0.153442	0.048780
00059	0.002921	0.154825	0.048794
00060	0.002842	0.156257	0.048810
00061	0.002797	0.157341	0.048759
00062	0.002618	0.158053	0.048741
00063	0.002466	0.156903	0.048778
00064	0.002406	0.159417	0.048757
00065	0.002326	0.159127	0.048669
00066	0.002343	0.158531	0.048608
00067	0.002087	0.158009	0.048516
00068	0.001805	0.158735	0.048413
00069	0.001627	0.159543	0.048301
00070	0.001700	0.158364	0.048156
00071	0.001416	0.157882	0.047980
00072	0.001090	0.158201	0.047811
00073	0.001189	0.158438	0.047667
00074	0.001173	0.157746	0.047695
00075	0.001407	0.158386	0.047858
00076	0.001706	0.160083	0.048061
00077	0.002209	0.160901	0.048327
00078	0.002639	0.162411	0.048639
00079	0.002417	0.163444	0.048883
00080	0.002462	0.162400	0.048953
00081	0.002537	0.163008	0.048978
00082	0.002463	0.163336	0.048986
00083	0.002383	0.163396	0.049018
00084	0.002500	0.165250	0.049043
00085	0.002522	0.165382	0.048979
00086	0.002446	0.165589	0.048956
00087	0.002451	0.166461	0.048990
00088	0.002552	0.166942	0.048937
00089	0.002578	0.168577	0.048910
00090	0.002508	0.168850	0.048857
00091	0.002458	0.170694	0.048855
00092	0.002430	0.168449	0.048821
00093	0.002331	0.169577	0.048793
00094	0.002120	0.170128	0.048803
00095	0.002052	0.169622	0.048818
00096	0.002008	0.170068	0.048822
00097	0.002132	0.172042	0.048772
00098	0.002357	0.173234	0.048734
00099	0.002279	0.174097	0.048729
00100	0.002120	0.174267	0.048744
00101	0.002324	0.175258	0.048722
00102	0.002209	0.175184	0.048742
00103	0.002273	0.175258	0.048778
00104	0.002179	0.175268	0.048789
00105	0.002037	0.175240	0.048780
00106	0.002030	0.177285	0.048794
00107	0.002152	0.178540	0.048776
00108	0.002128	0.179157	0.048734
00109	0.002006	0.179427	0.048684
00110	0.001771	0.179489	0.048589
00111	0.001507	0.182077	0.048482
00112	0.001380	0.182586	0.048302
00113	0.001230	0.181707	0.048137
00114	0.001192	0.180020	0.048054
00115	0.000858	0.180485	0.047840
00116	0.000517	0.180905	0.047703
00117	0.000338	0.179891	0.047660
00118	-0.000190	0.181071	0.047704
00119	-0.000269	0.181254	0.047848
00120	-0.000324	0.183288	0.048143
00121	0.000202	0.182538	0.048447
00122	0.000767	0.184451	0.048665
00123	0.000642	0.187266	0.048795
00124	0.000687	0.186301	0.048871
00125	0.000679	0.187771	0.048934
00126	0.000710	0.188704	0.049027
00127	0.000727	0.188129	0.049037
00128	0.000342	0.190362	0.049013
00129	0.000514	0.191603	0.049011
00130	0.000530	0.190726	0.049015
00131	0.000311	0.190549	0.049047
00132	0.000208	0.191386	0.048920
00133	0.000224	0.192481	0.048867
00134	0.000272	0.191649	0.048850
00135	0.000316	0.192028	0.048847
00136	0.000246	0.192602	0.048797
00137	0.000338	0.193157	0.048803
00138	0.000350	0.193486	0.048822
00139	0.000281	0.192842	0.048813
00140	0.000207	0.193051	0.048790
00141	0.000277	0.194019	0.048779
00142	0.000267	0.194307	0.048738
00143	0.000148	0.195856	0.048751
00144	-0.000097	0.196156	0.048770
00145	0.000248	0.195379	0.048770
00146	0.000490	0.194861	0.048808
00147	0.000455	0.196157	0.048839
00148	0.000379	0.194309	0.048828
00149	0.000412	0.197599	0.048777
00150	0.000517	0.197400	0.048754
00151	0.000405	0.197703	0.048723
00152	0.000185	0.197902	0.048648
00153	-0.000006	0.198026	0.048584
00154	-0.000183	0.198334	0.048477
00155	-0.000205	0.198186	0.048355
00156	-0.000293	0.196286	0.048267
00157	-0.000577	0.195476	0.048154
00158	-0.000887	0.196106	0.047932
00159	-0.001179	0.196585	0.047771
00160	-0.001298	0.196324	0.047699
00161	-0.001362	0.197167	0.047651
00162	-0.001194	0.197320	0.047743
00163	-0.000967	0.197597	0.047885
00164	-0.000451	0.198569	0.048185
00165	0.000125	0.199765	0.048489
00166	0.000382	0.201231	0.048743
00167	0.000504	0.201475	0.048877
00168	0.000605	0.200700	0.048927
00169	0.000319	0.200766	0.048958
00170	0.000447	0.201611	0.048945
00171	0.000585	0.202293	0.048972
00172	0.000603	0.200945	0.049036
00173	0.000649	0.201268	0.049017
00174	0.000792	0.200916	0.048973
00175	0.000707	0.200742	0.048959
00176	0.000594	0.203127	0.048932
00177	0.000452	0.202427	0.048912
00178	0.000296	0.202353	0.048890
00179	0.000240	0.202178	0.048849
00180	0.000243	0.203054	0.048841
00181	0.000350	0.202251	0.048825
00182	0.000370	0.201785	0.048798
00183	0.000316	0.202517	0.048831
00184	0.000198	0.200740	0.048779
00185	0.000335	0.199990	0.048750
00186	0.000470	0.200519	0.048748
00187	0.000371	0.201511	0.048789
00188	0.000260	0.201663	0.048770
00189	0.000192	0.201128	0.048741
00190	0.000289	0.201984	0.048691
