&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/048_7Nb_TDheat_800C_24_02_2017-132446/pixi_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	0.001191	0.149635	0.033468
00002	0.003587	0.149444	0.033572
00003	0.003819	0.150234	0.033511
00004	0.003899	0.150165	0.033500
00005	0.004043	0.149445	0.033488
00006	0.003982	0.149501	0.033434
00007	0.003886	0.150217	0.033424
00008	0.003750	0.150377	0.033355
00009	0.003645	0.150138	0.033318
00010	0.003550	0.149969	0.033310
00011	0.003607	0.149743	0.033317
00012	0.003542	0.150368	0.033377
00013	0.003308	0.150913	0.033334
00014	0.003383	0.149914	0.033291
00015	0.003696	0.150059	0.033331
00016	0.003731	0.150283	0.033275
00017	0.003653	0.149130	0.033250
00018	0.003595	0.149516	0.033269
00019	0.003745	0.149989	0.033244
00020	0.003710	0.150998	0.033266
00021	0.003554	0.150917	0.033261
00022	0.003536	0.150469	0.033256
00023	0.003488	0.151455	0.033256
00024	0.003532	0.151389	0.033224
00025	0.003366	0.151212	0.033161
00026	0.003275	0.151196	0.033109
00027	0.003197	0.150304	0.033029
00028	0.003177	0.149652	0.032933
00029	0.003139	0.150014	0.032850
00030	0.002840	0.149115	0.032716
00031	0.002508	0.148158	0.032497
00032	0.002314	0.149423	0.032248
00033	0.002204	0.149672	0.032089
00034	0.002094	0.148631	0.032059
00035	0.001972	0.149057	0.032071
00036	0.002179	0.148858	0.032185
00037	0.002618	0.149632	0.032446
00038	0.002719	0.149975	0.032707
00039	0.002864	0.149704	0.032948
00040	0.003149	0.150339	0.033199
00041	0.003086	0.151067	0.033368
00042	0.002998	0.152011	0.033422
00043	0.003086	0.150436	0.033422
00044	0.003063	0.149633	0.033454
00045	0.003117	0.150657	0.033538
00046	0.003119	0.151241	0.033565
00047	0.002944	0.150812	0.033535
00048	0.003019	0.150293	0.033510
00049	0.003005	0.151547	0.033467
00050	0.002862	0.152440	0.033395
00051	0.002794	0.152061	0.033350
00052	0.002714	0.151746	0.033327
00053	0.002462	0.152050	0.033322
00054	0.002309	0.152601	0.033307
00055	0.002555	0.152386	0.033269
00056	0.002462	0.152234	0.033284
00057	0.002298	0.152713	0.033258
00058	0.002199	0.152907	0.033176
