&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/086_ZrY2Nb_TDload_700C_15mms_25_02_2017-205026/pixi_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	0.000469	0.154329	0.024252
00002	0.000395	0.157026	0.024187
00003	0.000245	0.158295	0.024149
00004	0.000085	0.160016	0.024157
00005	-0.000018	0.161376	0.024162
00006	-0.000156	0.165878	0.024122
00007	-0.000336	0.167860	0.024119
00008	-0.000268	0.170435	0.024188
00009	0.000246	0.171840	0.024168
00010	0.000308	0.173667	0.024129
00011	-0.000239	0.177895	0.024146
00012	-0.000411	0.178427	0.024205
00013	-0.000294	0.184566	0.024176
00014	-0.000267	0.187135	0.024122
00015	-0.000396	0.188633	0.024116
00016	-0.000513	0.190459	0.024058
00017	-0.000508	0.193404	0.023990
00018	-0.000479	0.197017	0.023932
00019	-0.000787	0.199404	0.023792
00020	-0.001179	0.203765	0.023636
00021	-0.001316	0.206758	0.023482
00022	-0.001324	0.209031	0.023260
00023	-0.001438	0.210959	0.023066
00024	-0.001545	0.213174	0.022967
00025	-0.001519	0.215674	0.022955
00026	-0.001694	0.218766	0.023059
00027	-0.001635	0.221072	0.023317
00028	-0.001320	0.222126	0.023609
00029	-0.001116	0.222272	0.023919
00030	-0.000774	0.221595	0.024153
00031	-0.000601	0.222492	0.024271
00032	-0.000543	0.221917	0.024346
00033	-0.000284	0.222673	0.024375
00034	-0.000366	0.222085	0.024369
00035	-0.000640	0.221561	0.024430
00036	-0.000668	0.220744	0.024457
00037	-0.000507	0.219385	0.024406
00038	-0.000541	0.220857	0.024402
00039	-0.000695	0.217991	0.024356
00040	-0.000827	0.219670	0.024331
00041	-0.001083	0.218329	0.024282
00042	-0.001058	0.216192	0.024220
00043	-0.000977	0.216214	0.024212
00044	-0.001279	0.216354	0.024241
00045	-0.001291	0.217015	0.024252
00046	-0.001197	0.216886	0.024208
00047	-0.001293	0.216230	0.024207
