&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/087_ZrY2Nb_NDload_800C_15mms_25_02_2017-212232/pixi_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	-0.000784	0.213039	0.023272
00002	-0.000868	0.209804	0.023000
00003	-0.000976	0.208199	0.022853
00004	-0.001404	0.208895	0.022730
00005	-0.001553	0.207880	0.022603
00006	-0.001326	0.208728	0.022637
00007	-0.001136	0.207096	0.022807
00008	-0.001106	0.206530	0.022999
00009	-0.000729	0.208444	0.023344
00010	-0.000301	0.207795	0.023700
00011	0.000085	0.206595	0.023854
00012	0.000352	0.206323	0.023921
00013	0.000370	0.206563	0.023978
00014	0.000314	0.204924	0.024016
00015	0.000256	0.203802	0.023996
00016	0.000592	0.201686	0.024080
00017	0.000638	0.199698	0.024047
00018	0.000547	0.195417	0.023998
00019	0.000361	0.192929	0.023954
00020	0.000400	0.187915	0.023927
00021	0.000348	0.183366	0.023962
00022	0.000275	0.179978	0.023945
00023	0.000212	0.172147	0.023863
00024	0.000041	0.171248	0.023799
00025	-0.000159	0.161813	0.023814
00026	-0.000360	0.160769	0.023828
00027	-0.000563	0.151853	0.023768
00028	-0.000201	0.148360	0.023744
00029	0.000284	0.141766	0.023796
00030	-0.000316	0.136195	0.023788
00031	-0.000396	0.133468	0.023761
00032	-0.000489	0.131643	0.023762
00033	-0.000393	0.131085	0.023824
00034	-0.000308	0.131249	0.023803
00035	-0.000374	0.132008	0.023817
00036	-0.000213	0.133013	0.023831
00037	-0.000335	0.134003	0.023762
00038	-0.000535	0.135007	0.023862
00039	-0.000656	0.137524	0.023828
00040	-0.000517	0.136752	0.023746
00041	-0.000438	0.135795	0.023687
00042	-0.000866	0.137965	0.023560
00043	-0.000787	0.139782	0.023406
00044	-0.001159	0.141236	0.023288
00045	-0.001677	0.138908	0.023146
00046	-0.001514	0.141342	0.022919
00047	-0.001769	0.139939	0.022769
00048	-0.002018	0.141843	0.022638
00049	-0.001873	0.140651	0.022535
00050	-0.001791	0.142953	0.022613
00051	-0.001379	0.143106	0.022740
00052	-0.001075	0.143371	0.023042
00053	-0.000386	0.146370	0.023384
00054	-0.000436	0.142309	0.023653
00055	-0.000657	0.148260	0.023914
00056	-0.000339	0.148276	0.023951
00057	-0.000279	0.149865	0.023934
00058	-0.000248	0.153243	0.024021
00059	-0.000035	0.156652	0.024044
00060	0.000174	0.160596	0.024029
00061	0.000220	0.163559	0.024050
00062	0.000266	0.166269	0.024001
00063	0.000306	0.172257	0.023980
00064	-0.000012	0.175359	0.023976
00065	-0.000371	0.179153	0.023912
00066	-0.000613	0.183091	0.023859
00067	-0.000472	0.186849	0.023816
00068	-0.000315	0.190248	0.023766
00069	-0.000324	0.197017	0.023778
00070	-0.000310	0.199830	0.023760
00071	0.000239	0.205251	0.023752
00072	-0.000195	0.208120	0.023782
00073	-0.000734	0.212496	0.023800
00074	-0.000328	0.213322	0.023730
00075	-0.000487	0.216902	0.023743
00076	-0.000236	0.217832	0.023648
00077	-0.000300	0.221182	0.023846
00078	-0.000090	0.220593	0.023755
00079	0.000151	0.215729	0.023777
00080	-0.000184	0.216546	0.023758
00081	-0.000164	0.215403	0.023730
00082	-0.000354	0.219155	0.023741
00083	-0.000441	0.213309	0.023682
00084	-0.000595	0.216805	0.023653
00085	-0.000528	0.213973	0.023540
00086	-0.000268	0.213971	0.023504
00087	-0.000631	0.211013	0.023404
00088	-0.000353	0.210438	0.023282
00089	-0.000682	0.210047	0.023075
00090	-0.001217	0.208478	0.022851
00091	-0.001505	0.208484	0.022755
00092	-0.001445	0.206686	0.022601
00093	-0.001275	0.204514	0.022618
00094	-0.001197	0.205810	0.022651
00095	-0.000868	0.206341	0.022903
00096	-0.000535	0.205661	0.023145
00097	-0.000412	0.204642	0.023542
00098	0.000366	0.204692	0.023770
00099	0.000233	0.203977	0.023951
00100	0.000297	0.204525	0.024030
00101	0.000399	0.203336	0.024003
00102	0.000461	0.204327	0.024053
00103	0.000469	0.201552	0.024028
00104	0.000274	0.200318	0.024073
00105	0.000756	0.195740	0.024038
00106	0.000374	0.196013	0.024086
00107	0.000588	0.191191	0.024032
00108	0.000671	0.188807	0.024023
00109	0.000143	0.186920	0.023951
00110	0.000218	0.179554	0.023885
00111	0.000286	0.181718	0.023835
00112	0.000386	0.176319	0.023795
00113	0.000501	0.174027	0.023781
00114	-0.000018	0.168583	0.023802
00115	0.000526	0.162854	0.023778
00116	0.000742	0.159845	0.023794
00117	0.000787	0.153149	0.023819
00118	-0.000193	0.149509	0.023797
00119	0.000452	0.144617	0.023729
00120	0.000382	0.141442	0.023700
00121	0.000456	0.139134	0.023722
00122	0.000403	0.135822	0.023729
00123	0.000331	0.133315	0.023787
00124	0.000482	0.132182	0.023757
00125	0.000525	0.131715	0.023781
00126	0.000434	0.130172	0.023740
00127	0.000595	0.129839	0.023684
00128	0.000370	0.130980	0.023707
00129	0.000160	0.133746	0.023628
00130	0.000244	0.132928	0.023484
00131	0.000247	0.132401	0.023365
00132	0.000045	0.132418	0.023197
00133	-0.000211	0.133994	0.023042
00134	-0.000479	0.133788	0.022839
00135	-0.000644	0.134118	0.022651
00136	-0.000840	0.134343	0.022623
00137	-0.000816	0.134304	0.022683
00138	-0.000800	0.137395	0.022693
00139	-0.000342	0.138069	0.022970
00140	-0.000204	0.139747	0.023266
00141	0.000387	0.138366	0.023563
00142	0.000858	0.140324	0.023829
00143	0.001145	0.139885	0.023933
00144	0.001419	0.140879	0.024009
00145	0.001346	0.141368	0.024035
00146	0.001098	0.141431	0.024059
00147	0.001041	0.142279	0.024068
00148	0.000854	0.144264	0.024061
00149	0.000902	0.145591	0.024041
00150	0.001079	0.145821	0.024057
00151	0.001114	0.146877	0.024050
00152	0.001092	0.148250	0.024001
00153	0.000657	0.148594	0.023941
00154	0.000433	0.151343	0.023859
00155	0.000313	0.153562	0.023847
00156	0.000539	0.155070	0.023792
00157	0.000670	0.158947	0.023784
00158	0.000497	0.161963	0.023811
00159	0.000530	0.165537	0.023833
00160	0.000344	0.169336	0.023803
00161	0.000600	0.171526	0.023766
00162	0.000614	0.176437	0.023758
00163	0.000469	0.180609	0.023759
00164	0.000490	0.185549	0.023763
00165	0.000319	0.188500	0.023774
00166	0.000615	0.193964	0.023744
00167	0.000540	0.198877	0.023695
00168	0.000314	0.202365	0.023712
00169	0.000427	0.207196	0.023785
00170	0.000548	0.209256	0.023753
00171	0.000499	0.212319	0.023663
00172	0.000264	0.215633	0.023580
00173	0.000216	0.216866	0.023520
00174	0.000150	0.217459	0.023439
00175	-0.000152	0.216492	0.023285
00176	-0.000449	0.214014	0.023083
00177	-0.000746	0.212930	0.022890
00178	-0.000837	0.211557	0.022781
00179	-0.000731	0.210563	0.022587
00180	-0.000742	0.211090	0.022496
00181	-0.000952	0.211154	0.022602
00182	-0.000941	0.211127	0.022749
00183	-0.000286	0.210044	0.023001
00184	0.000207	0.209297	0.023366
00185	0.000765	0.208472	0.023657
00186	0.001004	0.208462	0.023824
00187	0.000852	0.207392	0.023934
00188	0.001025	0.207943	0.024023
00189	0.001210	0.207532	0.024056
00190	0.001273	0.208671	0.024026
00191	0.001197	0.209775	0.024060
00192	0.001195	0.207062	0.024094
00193	0.001256	0.206276	0.024051
00194	0.001241	0.203444	0.024019
00195	0.001179	0.204160	0.023991
00196	0.001039	0.204151	0.023966
00197	0.001079	0.203824	0.023919
00198	0.001140	0.202463	0.023889
00199	0.000953	0.201010	0.023853
00200	0.000704	0.200963	0.023839
00201	0.000973	0.198988	0.023827
00202	0.001026	0.196327	0.023840
00203	0.001112	0.193751	0.023792
00204	0.001165	0.190502	0.023716
00205	0.001247	0.187375	0.023672
00206	0.000939	0.184162	0.023755
00207	0.000825	0.178728	0.023814
00208	0.000881	0.174554	0.023817
00209	0.001034	0.170993	0.023832
00210	0.001155	0.167189	0.023807
00211	0.001159	0.162582	0.023811
00212	0.001079	0.158220	0.023788
00213	0.001314	0.154298	0.023812
00214	0.001250	0.149387	0.023769
00215	0.001082	0.144502	0.023688
00216	0.000911	0.138315	0.023661
00217	0.000718	0.135096	0.023566
00218	0.000664	0.130925	0.023462
00219	0.000514	0.131075	0.023318
00220	0.000033	0.128633	0.023133
00221	-0.000172	0.125696	0.022952
