&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/025_2Nb_NDload_725C_15mms_23_02_2017-140829/pixi_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	0.002761	0.157104	0.095435
00002	0.002632	0.157179	0.095299
00003	0.002599	0.156120	0.095298
00004	0.002524	0.155655	0.095306
00005	0.002606	0.155868	0.095305
00006	0.002593	0.156670	0.095261
00007	0.002586	0.155611	0.095202
00008	0.002555	0.155477	0.095219
00009	0.002582	0.153555	0.095234
00010	0.002669	0.152609	0.095278
00011	0.002569	0.151977	0.095298
00012	0.002573	0.152127	0.095287
00013	0.002687	0.152659	0.095264
00014	0.002651	0.150724	0.095262
00015	0.002583	0.152337	0.095221
00016	0.002633	0.153525	0.095168
00017	0.002552	0.157823	0.095153
00018	0.002534	0.158242	0.095140
00019	0.002482	0.158928	0.095113
00020	0.002265	0.159964	0.095021
00021	0.002120	0.161692	0.094849
00022	0.001787	0.163075	0.094744
00023	0.001572	0.165774	0.094573
00024	0.001447	0.168183	0.094306
00025	0.001535	0.171374	0.094220
00026	0.001327	0.175418	0.094169
00027	0.001569	0.177781	0.094093
00028	0.001405	0.180658	0.094103
00029	0.001790	0.184241	0.094274
00030	0.001949	0.186664	0.094545
00031	0.002281	0.189629	0.094862
00032	0.002577	0.193590	0.095185
00033	0.002560	0.195138	0.095379
00034	0.002695	0.198052	0.095479
00035	0.002673	0.201307	0.095473
00036	0.002745	0.204862	0.095490
00037	0.002715	0.207127	0.095592
00038	0.002664	0.210855	0.095630
00039	0.002629	0.211269	0.095602
00040	0.002439	0.213980	0.095551
00041	0.002531	0.215238	0.095535
00042	0.002476	0.216211	0.095506
00043	0.002251	0.221499	0.095505
00044	0.002025	0.219848	0.095103
00045	0.001844	0.224703	0.095025
00046	0.001383	0.222715	0.094975
00047	0.001089	0.223506	0.094947
00048	0.000934	0.225428	0.094837
00049	0.000911	0.224074	0.094865
00050	0.001007	0.224716	0.094888
00051	0.000908	0.225331	0.094883
00052	0.001169	0.225598	0.094893
00053	0.000680	0.225746	0.094879
00054	0.000808	0.226623	0.094870
00055	0.000419	0.227136	0.094856
00056	0.000784	0.226336	0.094843
00057	0.000675	0.229152	0.094973
00058	0.000776	0.228370	0.094919
00059	0.000721	0.228881	0.094860
00060	0.000506	0.229308	0.094851
00061	0.000640	0.230566	0.094809
00062	0.000313	0.231810	0.094756
00063	0.000173	0.230467	0.094702
00064	0.000222	0.232311	0.094550
00065	0.000301	0.230809	0.094407
00066	-0.000130	0.231054	0.094360
00067	-0.000452	0.232037	0.094143
00068	-0.000544	0.231081	0.093932
00069	-0.001001	0.234144	0.093785
00070	-0.000962	0.230734	0.093756
00071	-0.000856	0.235554	0.093705
00072	-0.001028	0.232868	0.093850
00073	-0.000662	0.235780	0.094060
00074	-0.000250	0.233945	0.094230
00075	-0.000268	0.237000	0.094558
00076	0.000603	0.235576	0.094836
00077	0.000927	0.234340	0.094996
00078	0.000515	0.238228	0.095023
00079	0.000726	0.237958	0.095107
00080	0.000524	0.237013	0.095151
00081	0.000637	0.236511	0.095115
00082	0.001065	0.236826	0.095131
00083	0.000580	0.237499	0.095105
00084	0.000523	0.236676	0.095184
00085	0.000440	0.237259	0.095048
00086	0.000343	0.234824	0.095017
00087	-0.000100	0.233239	0.095037
00088	0.000141	0.232796	0.094987
00089	0.000643	0.227854	0.094959
00090	0.000192	0.225307	0.094814
00091	0.000144	0.223958	0.094835
00092	0.000205	0.223795	0.094885
00093	0.000131	0.218346	0.094750
00094	0.000165	0.217826	0.094853
00095	0.000208	0.209740	0.094885
00096	0.000251	0.207269	0.094833
00097	0.000374	0.205530	0.094829
00098	0.000353	0.201587	0.094817
00099	0.000322	0.203090	0.094840
00100	0.000178	0.193369	0.094931
00101	0.000032	0.195595	0.094810
00102	-0.000114	0.192389	0.094917
00103	0.000350	0.189100	0.094844
00104	0.000184	0.186416	0.094804
00105	0.000000	0.183526	0.094823
00106	-0.000180	0.182010	0.094814
00107	-0.000324	0.178651	0.094726
00108	-0.000462	0.177261	0.094508
00109	-0.000506	0.174873	0.094483
00110	-0.000887	0.173336	0.094204
00111	-0.001044	0.172534	0.094036
00112	-0.001121	0.170709	0.093929
00113	-0.001381	0.168898	0.093752
00114	-0.001256	0.167155	0.093702
00115	-0.001194	0.165333	0.093722
00116	-0.001054	0.165479	0.093911
00117	-0.001040	0.164698	0.094150
00118	-0.000706	0.166395	0.094518
00119	-0.000105	0.164141	0.094712
00120	0.000357	0.166010	0.094837
00121	0.000412	0.162756	0.094950
00122	0.000629	0.164711	0.095060
00123	0.000224	0.165696	0.095122
00124	0.000277	0.162794	0.095189
00125	0.000672	0.167064	0.095124
00126	0.000439	0.161795	0.095138
00127	0.000496	0.164040	0.095108
00128	0.000748	0.160414	0.095197
00129	0.000360	0.162394	0.095070
00130	0.000238	0.159778	0.094941
00131	0.000333	0.160482	0.094939
00132	0.000420	0.161046	0.094844
00133	-0.000095	0.159684	0.094880
00134	0.000257	0.159170	0.094862
00135	0.000177	0.158161	0.094780
00136	0.000069	0.157032	0.094786
00137	-0.000171	0.156451	0.094749
00138	-0.000267	0.156862	0.094792
00139	0.000258	0.155959	0.094762
00140	-0.000241	0.155969	0.094728
00141	-0.000230	0.156311	0.094796
00142	-0.000034	0.155818	0.094842
00143	0.000132	0.153180	0.094877
00144	0.000170	0.154225	0.094837
00145	0.000190	0.154056	0.094870
00146	0.000143	0.154025	0.094860
00147	0.000172	0.151152	0.094907
00148	0.000102	0.153201	0.094886
00149	-0.000309	0.150350	0.094744
00150	-0.000299	0.151080	0.094671
00151	-0.000262	0.150379	0.094663
00152	-0.000416	0.147688	0.094527
00153	-0.000832	0.150290	0.094361
00154	-0.001020	0.148184	0.094202
00155	-0.001151	0.147876	0.094024
00156	-0.001475	0.146408	0.093864
00157	-0.001655	0.147224	0.093741
00158	-0.001417	0.149004	0.093736
00159	-0.001328	0.150344	0.093789
00160	-0.001476	0.149318	0.093919
00161	-0.001119	0.150832	0.094176
00162	-0.000703	0.153939	0.094543
00163	-0.000370	0.156643	0.094874
00164	-0.000406	0.157864	0.094993
00165	-0.000331	0.160335	0.095098
00166	-0.000179	0.164367	0.095109
00167	0.000129	0.165286	0.095157
00168	-0.000075	0.168481	0.095242
00169	0.000127	0.171195	0.095302
00170	0.000143	0.174605	0.095266
00171	0.000033	0.177623	0.095163
00172	-0.000190	0.181798	0.095071
00173	0.000032	0.182890	0.095016
00174	-0.000240	0.186735	0.094997
00175	-0.000303	0.187819	0.094938
00176	-0.000256	0.190800	0.094910
00177	-0.000498	0.194271	0.094883
00178	-0.000188	0.196507	0.094890
00179	0.000112	0.200307	0.094905
00180	-0.000354	0.199098	0.094918
00181	-0.000428	0.201767	0.094888
00182	-0.000252	0.203650	0.094853
00183	-0.000321	0.208355	0.094863
00184	-0.000316	0.208620	0.094845
00185	0.000174	0.211745	0.094822
00186	0.000106	0.213212	0.094810
00187	-0.000271	0.214976	0.094771
00188	-0.000382	0.217198	0.094780
00189	-0.000468	0.217797	0.094788
00190	-0.000258	0.218758	0.094838
00191	-0.000175	0.218565	0.094884
00192	-0.000215	0.221070	0.094808
00193	-0.000296	0.222642	0.094739
00194	-0.000452	0.221835	0.094609
00195	-0.000512	0.221581	0.094526
00196	-0.000353	0.220986	0.094454
00197	-0.000413	0.223920	0.094293
00198	-0.000814	0.223767	0.094132
00199	-0.000973	0.222871	0.093973
00200	-0.001137	0.222674	0.093808
00201	-0.001342	0.222801	0.093714
00202	-0.001109	0.224009	0.093686
00203	-0.000953	0.221819	0.093753
00204	-0.000676	0.225364	0.094017
00205	-0.000222	0.225897	0.094319
00206	0.000096	0.225237	0.094619
00207	0.000466	0.227027	0.094862
00208	0.000653	0.226507	0.095024
00209	0.000763	0.228014	0.095093
00210	0.000820	0.227956	0.095096
00211	0.000728	0.228421	0.095100
00212	0.000668	0.227891	0.095145
00213	0.000952	0.228306	0.095204
00214	0.001148	0.228653	0.095182
00215	0.001039	0.229232	0.095118
00216	0.000943	0.229654	0.095117
00217	0.000911	0.229953	0.095064
00218	0.000742	0.230779	0.094975
00219	0.000906	0.231335	0.094948
00220	0.000853	0.231666	0.094861
00221	0.000561	0.231340	0.094809
00222	0.000597	0.231498	0.094837
00223	0.000614	0.233153	0.094821
00224	0.000554	0.233255	0.094829
00225	0.000850	0.233305	0.094779
00226	0.000727	0.233305	0.094732
00227	0.000441	0.234508	0.094796
00228	0.000530	0.234375	0.094808
00229	0.000490	0.234254	0.094802
00230	0.000463	0.236678	0.094835
00231	0.000544	0.234724	0.094900
00232	0.000419	0.234838	0.094861
00233	0.000502	0.233003	0.094815
00234	0.000694	0.231187	0.094822
00235	0.000426	0.229639	0.094755
00236	0.000333	0.229106	0.094749
00237	0.000003	0.227125	0.094710
00238	0.000022	0.223630	0.094610
00239	-0.000074	0.222318	0.094470
00240	-0.000517	0.220218	0.094293
00241	-0.000646	0.217509	0.094140
00242	-0.000926	0.214116	0.093998
00243	-0.001215	0.209681	0.093827
00244	-0.001289	0.207432	0.093724
00245	-0.001333	0.204427	0.093684
00246	-0.001372	0.201597	0.093712
00247	-0.001105	0.198683	0.093878
00248	-0.000815	0.196782	0.094106
00249	-0.000423	0.193843	0.094404
00250	0.000109	0.191456	0.094709
00251	0.000015	0.188688	0.094912
00252	-0.000053	0.186148	0.095003
00253	0.000064	0.184073	0.095045
00254	0.000177	0.180195	0.095098
00255	0.000143	0.179186	0.095117
00256	0.000443	0.174892	0.095124
00257	0.000327	0.174646	0.095147
00258	-0.000063	0.174097	0.095106
00259	0.000247	0.170027	0.095129
00260	0.000265	0.169994	0.095083
00261	-0.000100	0.167416	0.094962
00262	-0.000307	0.166901	0.094989
00263	-0.000453	0.164452	0.094922
00264	-0.000665	0.164245	0.094926
00265	-0.000339	0.163894	0.094893
00266	-0.000400	0.164283	0.094856
00267	-0.000560	0.163863	0.094852
00268	-0.000437	0.163285	0.094866
00269	0.000195	0.163266	0.094817
00270	-0.000297	0.162631	0.094898
00271	-0.000262	0.162436	0.094871
00272	-0.000702	0.162599	0.094919
00273	-0.000467	0.162227	0.094815
00274	-0.000404	0.161329	0.094807
00275	-0.000551	0.160891	0.094876
00276	-0.000319	0.160492	0.094880
00277	-0.000164	0.160545	0.094868
00278	-0.000647	0.160698	0.094840
00279	-0.000666	0.162815	0.094750
00280	-0.000529	0.160186	0.094652
00281	-0.000662	0.161274	0.094700
00282	-0.000909	0.159243	0.094668
00283	-0.001248	0.159254	0.094462
00284	-0.001347	0.158683	0.094327
00285	-0.001373	0.154856	0.094114
00286	-0.001463	0.156446	0.093941
00287	-0.001839	0.153799	0.093848
00288	-0.001825	0.156371	0.093726
00289	-0.001731	0.151663	0.093699
00290	-0.001770	0.154336	0.093785
00291	-0.001493	0.153071	0.093982
00292	-0.001088	0.153123	0.094344
00293	-0.000896	0.153275	0.094559
00294	-0.000500	0.153408	0.094841
00295	-0.000521	0.152662	0.094951
00296	-0.000284	0.151828	0.095158
00297	-0.000199	0.152125	0.095145
00298	-0.000159	0.154099	0.095137
00299	-0.000212	0.154759	0.095246
00300	-0.000196	0.157335	0.095284
00301	-0.000163	0.158834	0.095266
00302	-0.000306	0.161026	0.095162
00303	-0.000314	0.165171	0.095146
00304	-0.000351	0.168324	0.095114
00305	-0.000556	0.171753	0.095051
00306	-0.000815	0.174502	0.094989
00307	-0.000686	0.179678	0.094927
00308	-0.000816	0.181607	0.094978
00309	-0.000707	0.187281	0.094918
00310	-0.000751	0.186487	0.094925
00311	-0.000755	0.194332	0.094904
00312	-0.000757	0.196471	0.095001
00313	-0.000929	0.198510	0.094928
00314	-0.000751	0.204240	0.094912
00315	-0.000916	0.205082	0.094908
00316	-0.000975	0.209911	0.094779
00317	-0.000836	0.209062	0.094843
00318	-0.001118	0.215813	0.094902
00319	-0.001219	0.217266	0.094773
00320	-0.000667	0.218889	0.094835
00321	-0.001131	0.218935	0.094900
00322	-0.000890	0.223013	0.094837
00323	-0.000832	0.223167	0.094838
00324	-0.001159	0.225457	0.094721
00325	-0.001119	0.224712	0.094662
00326	-0.001447	0.227660	0.094530
00327	-0.001777	0.227390	0.094374
00328	-0.001579	0.226244	0.094220
00329	-0.001927	0.225643	0.094147
00330	-0.001971	0.226833	0.093888
00331	-0.002166	0.226414	0.093813
00332	-0.002408	0.224641	0.093673
00333	-0.002472	0.227398	0.093769
00334	-0.002087	0.224602	0.093899
00335	-0.001877	0.229541	0.094076
00336	-0.001813	0.226455	0.094330
00337	-0.001119	0.231319	0.094649
00338	-0.001265	0.231014	0.094893
00339	-0.000851	0.229223	0.094890
00340	-0.000819	0.230510	0.094976
00341	-0.000875	0.229565	0.095136
00342	-0.000937	0.231248	0.095165
00343	-0.000868	0.230123	0.095252
00344	-0.001155	0.233409	0.095188
00345	-0.000941	0.232072	0.095150
00346	-0.001110	0.234161	0.095184
00347	-0.001237	0.233502	0.095146
00348	-0.001008	0.234776	0.095014
00349	-0.001163	0.234104	0.094972
00350	-0.001383	0.234295	0.094859
00351	-0.001257	0.235527	0.094848
00352	-0.001374	0.235541	0.094835
00353	-0.001157	0.235977	0.094940
00354	-0.001249	0.236079	0.095323
00355	-0.000893	0.235566	0.095202
00356	-0.001398	0.235781	0.095069
00357	-0.001288	0.234073	0.094885
00358	-0.001207	0.233841	0.095042
00359	-0.001407	0.231880	0.095168
00360	-0.000991	0.231749	0.095330
00361	-0.001172	0.227849	0.095299
00362	-0.000820	0.225234	0.095193
00363	-0.001058	0.224917	0.095139
00364	-0.001202	0.217268	0.095285
00365	-0.001255	0.217141	0.095218
00366	-0.001107	0.210536	0.095311
00367	-0.001284	0.208165	0.095191
00368	-0.001274	0.207527	0.095033
00369	-0.001485	0.200571	0.094799
00370	-0.001418	0.199029	0.094753
00371	-0.001710	0.191678	0.094651
00372	-0.001695	0.192759	0.094622
00373	-0.001703	0.187754	0.094417
