&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/039_7Nb_TDload_700C_15mms_23_02_2017-224917/pixi_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	-0.001285	0.140123	0.028929
00002	-0.001481	0.141143	0.028600
00003	-0.001791	0.142790	0.028387
00004	-0.001919	0.141296	0.028294
00005	-0.002010	0.141575	0.028302
00006	-0.001720	0.142329	0.028461
00007	-0.001619	0.144212	0.028660
00008	-0.001372	0.142862	0.028912
00009	-0.001210	0.143496	0.029199
00010	-0.000805	0.144955	0.029433
00011	-0.000706	0.145877	0.029570
00012	-0.000528	0.146388	0.029700
00013	-0.000768	0.145758	0.029680
00014	-0.000545	0.145261	0.029737
00015	-0.000496	0.146100	0.029659
00016	-0.000735	0.146047	0.029715
00017	-0.000716	0.146279	0.029712
00018	-0.000604	0.145594	0.029613
00019	-0.000698	0.146528	0.029724
00020	-0.000481	0.145332	0.029596
00021	-0.000825	0.146186	0.029504
00022	-0.000907	0.146126	0.029518
00023	-0.001159	0.146012	0.029532
00024	-0.001069	0.144641	0.029529
00025	-0.001059	0.145263	0.029514
00026	-0.001439	0.149179	0.029476
00027	-0.001290	0.147434	0.029434
00028	-0.001153	0.149005	0.029385
00029	-0.001146	0.147275	0.029380
00030	-0.001580	0.150749	0.029422
00031	-0.001326	0.149919	0.029418
00032	-0.001425	0.148871	0.029322
00033	-0.001420	0.151286	0.029387
00034	-0.001265	0.151394	0.029426
00035	-0.001442	0.152407	0.029374
00036	-0.001530	0.153441	0.029409
00037	-0.001547	0.154873	0.029423
00038	-0.001611	0.155427	0.029401
00039	-0.001700	0.157932	0.029318
00040	-0.001635	0.158771	0.029345
00041	-0.001914	0.162086	0.029206
00042	-0.002091	0.163293	0.029138
00043	-0.001687	0.163465	0.029047
00044	-0.002005	0.165360	0.028986
00045	-0.002306	0.167858	0.028725
00046	-0.002673	0.169944	0.028503
00047	-0.002594	0.171178	0.028418
00048	-0.002493	0.173970	0.028356
00049	-0.002709	0.174864	0.028336
00050	-0.002496	0.178480	0.028410
00051	-0.002234	0.180697	0.028588
00052	-0.001899	0.184235	0.028940
00053	-0.001733	0.187335	0.029255
00054	-0.001454	0.189334	0.029474
00055	-0.001364	0.190166	0.029517
00056	-0.001356	0.194426	0.029639
00057	-0.001483	0.196902	0.029614
00058	-0.001209	0.199783	0.029659
00059	-0.001211	0.201991	0.029708
00060	-0.001296	0.203606	0.029760
00061	-0.001208	0.208169	0.029728
00062	-0.001380	0.208115	0.029666
00063	-0.001372	0.211815	0.029689
00064	-0.001712	0.210588	0.029626
00065	-0.001067	0.213794	0.029561
00066	-0.001371	0.213893	0.029600
00067	-0.001478	0.214591	0.029495
00068	-0.001679	0.218624	0.029459
00069	-0.001740	0.216994	0.029565
00070	-0.001765	0.215883	0.029448
00071	-0.001653	0.218696	0.029412
00072	-0.001498	0.219127	0.029439
00073	-0.001583	0.220995	0.029469
00074	-0.001226	0.220343	0.029397
00075	-0.001462	0.220006	0.029385
00076	-0.001387	0.219004	0.029403
00077	-0.001426	0.219617	0.029476
00078	-0.001329	0.216786	0.029458
00079	-0.001378	0.219169	0.029431
00080	-0.001011	0.217029	0.029442
00081	-0.001609	0.218789	0.029410
00082	-0.001500	0.213833	0.029365
00083	-0.001675	0.212983	0.029399
00084	-0.001526	0.214387	0.029281
00085	-0.001503	0.210745	0.029269
00086	-0.002031	0.213403	0.029122
00087	-0.002085	0.211848	0.028993
00088	-0.002155	0.213126	0.028850
00089	-0.002487	0.210412	0.028695
00090	-0.002651	0.210599	0.028556
