&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/045_2Nb_TDheat_1100C_5Cs_24_02_2017-115436/pixi_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	0.002545	0.181219	0.054084
00002	0.003072	0.179372	0.054307
00003	0.003175	0.177773	0.054393
00004	0.003005	0.180044	0.054359
00005	0.003219	0.178459	0.054236
00006	0.003019	0.178596	0.054319
00007	0.003109	0.179002	0.054265
00008	0.003090	0.177597	0.054244
00009	0.003316	0.177008	0.054255
00010	0.003114	0.179157	0.054112
00011	0.002783	0.176558	0.054083
00012	0.002801	0.176576	0.054111
00013	0.002477	0.179065	0.054073
00014	0.002727	0.176429	0.054096
00015	0.002880	0.176934	0.054023
00016	0.002724	0.172963	0.054124
00017	0.002656	0.176751	0.054069
00018	0.002597	0.176482	0.054036
00019	0.002433	0.177295	0.054077
00020	0.002264	0.175637	0.054012
00021	0.002699	0.174922	0.054021
00022	0.002445	0.176828	0.054057
00023	0.002058	0.176718	0.054055
00024	0.002604	0.174306	0.054112
00025	0.002154	0.175478	0.054088
00026	0.002045	0.174368	0.054109
00027	0.001995	0.175117	0.054082
00028	0.002037	0.174552	0.054000
00029	0.001883	0.173187	0.054017
00030	0.001957	0.174050	0.053991
00031	0.001530	0.173925	0.053895
00032	0.001413	0.173188	0.053691
00033	0.001351	0.172371	0.053541
00034	0.001242	0.172495	0.053364
00035	0.000842	0.170195	0.053171
00036	0.000290	0.172202	0.053132
00037	-0.000143	0.171389	0.052908
00038	0.000356	0.171686	0.053006
00039	0.000312	0.170510	0.053160
00040	0.000936	0.170917	0.053400
00041	0.001023	0.170351	0.053652
00042	0.001128	0.171295	0.053836
00043	0.001359	0.170773	0.054170
00044	0.001628	0.172627	0.054215
00045	0.001467	0.172234	0.054255
00046	0.001801	0.171151	0.054331
00047	0.001485	0.173970	0.054308
00048	0.001497	0.171007	0.054374
00049	0.001320	0.171947	0.054330
00050	0.001358	0.170370	0.054359
00051	0.001248	0.170546	0.054312
00052	0.001090	0.172704	0.054246
00053	0.001039	0.170037	0.054316
00054	0.000920	0.169471	0.054293
00055	0.000853	0.170873	0.054105
00056	0.000552	0.171676	0.054187
00057	0.000684	0.169798	0.054075
00058	0.000609	0.169797	0.054088
00059	0.000340	0.170898	0.054073
00060	0.000605	0.170549	0.054133
00061	0.000397	0.169998	0.053978
00062	0.000181	0.170371	0.054065
00063	0.000470	0.170800	0.054030
00064	0.000576	0.166752	0.054003
00065	0.000477	0.167773	0.054082
00066	0.000339	0.166091	0.054064
00067	0.000505	0.166778	0.054073
00068	0.000153	0.166076	0.054063
00069	-0.000115	0.168981	0.053994
00070	0.000128	0.167426	0.054033
00071	0.000249	0.167453	0.054030
00072	0.000446	0.168718	0.053960
00073	-0.000122	0.168624	0.053948
00074	-0.000141	0.170003	0.053905
00075	-0.000284	0.167934	0.053752
00076	-0.000371	0.167031	0.053617
00077	-0.000693	0.168642	0.053510
00078	-0.000745	0.167884	0.053290
00079	-0.001061	0.165226	0.053177
00080	-0.001620	0.167170	0.053081
00081	-0.001195	0.164754	0.052980
00082	-0.001179	0.167077	0.052998
00083	-0.000822	0.165720	0.053164
00084	-0.000546	0.165228	0.053309
00085	-0.000725	0.164026	0.053600
00086	-0.000601	0.164554	0.053879
00087	0.000411	0.167386	0.054150
00088	0.000296	0.165047	0.054233
00089	0.000292	0.168821	0.054356
00090	0.000290	0.168906	0.054383
00091	0.000457	0.166930	0.054306
00092	0.000389	0.167878	0.054419
00093	0.000426	0.167912	0.054320
00094	0.000528	0.168899	0.054314
00095	0.000735	0.169407	0.054320
00096	0.000919	0.170044	0.054311
00097	0.000228	0.168208	0.054327
00098	0.000181	0.170222	0.054257
00099	0.000340	0.169558	0.054223
00100	0.000244	0.167836	0.054226
00101	0.000201	0.171155	0.054282
00102	0.000163	0.168935	0.054199
00103	0.000121	0.171221	0.054168
00104	0.000096	0.171078	0.054114
00105	0.000236	0.171422	0.054129
00106	0.000253	0.173304	0.054173
00107	0.000221	0.173009	0.054136
00108	0.000187	0.173514	0.054238
00109	0.000159	0.172015	0.054142
00110	0.000232	0.171803	0.054194
00111	-0.000150	0.171702	0.054179
