&SRS
<MetaDataAtStart>
pilatus100k_path_template='../../rawdata/089_ZrY2Nb_NDload_725C_15mms_25_02_2017-222406/pixi_%05d.tif'
</MetaDataAtStart>
&End
path	load	temperature	position
00001	-0.000714	0.213780	0.044651
00002	-0.000344	0.214350	0.044751
00003	-0.000287	0.213107	0.044806
00004	-0.000679	0.212830	0.044837
00005	-0.000593	0.213166	0.044880
00006	-0.000516	0.213043	0.044808
00007	-0.000497	0.212581	0.044754
00008	-0.000557	0.211841	0.044827
00009	-0.000804	0.211141	0.044765
00010	-0.001029	0.210367	0.044737
00011	-0.000880	0.211234	0.044712
00012	-0.000876	0.211501	0.044679
00013	-0.001039	0.209854	0.044651
00014	-0.001106	0.210051	0.044646
00015	-0.001135	0.209865	0.044621
00016	-0.001097	0.210132	0.044522
00017	-0.000890	0.209692	0.044548
00018	-0.001124	0.208869	0.044555
00019	-0.001033	0.209962	0.044517
00020	-0.001095	0.209063	0.044534
00021	-0.001103	0.208324	0.044473
00022	-0.001119	0.209015	0.044519
00023	-0.001249	0.207876	0.044516
00024	-0.001425	0.209744	0.044521
00025	-0.001058	0.208821	0.044479
00026	-0.001136	0.208311	0.044471
00027	-0.001377	0.208203	0.044470
00028	-0.001562	0.207231	0.044511
00029	-0.001445	0.207882	0.044486
00030	-0.001389	0.207903	0.044366
00031	-0.001730	0.208821	0.044340
00032	-0.001708	0.207493	0.044222
00033	-0.002055	0.207010	0.044035
00034	-0.002164	0.205874	0.043857
00035	-0.002204	0.207174	0.043673
00036	-0.002464	0.205837	0.043529
00037	-0.002696	0.206872	0.043448
00038	-0.002308	0.207089	0.043509
00039	-0.002359	0.206578	0.043626
00040	-0.002159	0.207218	0.043842
00041	-0.002041	0.204852	0.044034
00042	-0.001625	0.210416	0.044281
00043	-0.001316	0.206470	0.044536
00044	-0.001137	0.207650	0.044630
00045	-0.001362	0.208471	0.044676
00046	-0.001242	0.207049	0.044727
00047	-0.001373	0.205595	0.044793
00048	-0.001595	0.206203	0.044846
00049	-0.001266	0.205749	0.044851
00050	-0.001418	0.204628	0.044835
00051	-0.001496	0.205970	0.044868
00052	-0.001572	0.204308	0.044753
00053	-0.001403	0.205102	0.044656
00054	-0.001496	0.203220	0.044577
00055	-0.001576	0.204608	0.044570
00056	-0.001648	0.202790	0.044630
00057	-0.001813	0.202791	0.044586
00058	-0.001819	0.203072	0.044546
00059	-0.001737	0.202355	0.044454
00060	-0.001921	0.204217	0.044406
00061	-0.002014	0.203321	0.044463
00062	-0.001914	0.203595	0.044483
00063	-0.002033	0.202702	0.044437
00064	-0.001764	0.200043	0.044480
00065	-0.001951	0.202272	0.044510
00066	-0.001770	0.202765	0.044436
00067	-0.002122	0.202499	0.044481
00068	-0.002075	0.201424	0.044479
00069	0.000063	0.199249	0.044043
00070	-0.002100	0.200180	0.044496
00071	-0.002058	0.202753	0.044405
00072	-0.002236	0.202297	0.044481
00073	-0.002581	0.204226	0.044409
00074	-0.002378	0.200914	0.044295
00075	-0.002405	0.201840	0.044152
00076	-0.002912	0.201442	0.044072
00077	-0.002852	0.199309	0.043897
00078	-0.002927	0.198728	0.043782
00079	-0.003305	0.199971	0.043608
00080	-0.003275	0.196912	0.043494
00081	-0.003414	0.196982	0.043474
00082	-0.003271	0.196544	0.043544
00083	-0.003376	0.197038	0.043734
00084	-0.002758	0.196832	0.043886
00085	-0.002519	0.197133	0.044143
00086	-0.002426	0.198232	0.044434
00087	-0.002185	0.197733	0.044642
00088	-0.002221	0.197454	0.044596
00089	-0.002153	0.195902	0.044635
00090	-0.002085	0.195855	0.044743
00091	-0.002187	0.194550	0.044728
00092	-0.002055	0.194789	0.044756
00093	-0.001867	0.193824	0.044757
00094	-0.001975	0.193794	0.044764
00095	-0.001945	0.190320	0.044704
00096	-0.002157	0.189541	0.044637
00097	-0.002106	0.191628	0.044711
00098	-0.002081	0.190443	0.044647
00099	-0.002043	0.190105	0.044622
00100	-0.002103	0.189214	0.044588
00101	-0.002161	0.188692	0.044506
00102	-0.002274	0.188529	0.044562
00103	-0.001961	0.186561	0.044547
00104	-0.001995	0.185476	0.044541
00105	-0.001926	0.186117	0.044449
00106	-0.002378	0.185358	0.044518
00107	-0.002177	0.185283	0.044456
00108	-0.002063	0.185957	0.044459
00109	-0.002012	0.184866	0.044485
00110	-0.001976	0.183237	0.044401
00111	-0.002049	0.183747	0.044516
00112	-0.002271	0.183618	0.044523
00113	-0.001900	0.183337	0.044491
00114	-0.001895	0.182650	0.044565
00115	-0.002111	0.182609	0.044512
00116	-0.001979	0.182730	0.044403
00117	-0.002002	0.181670	0.044325
00118	-0.001990	0.179855	0.044205
00119	-0.000760	0.179242	0.044045
00120	0.002882	0.178266	0.043929
00121	0.002775	0.177124	0.043809
00122	0.002407	0.177121	0.043587
00123	0.002377	0.175363	0.043485
00124	0.002111	0.174756	0.043441
00125	0.002344	0.173205	0.043437
00126	0.002519	0.173149	0.043597
00127	0.002399	0.172025	0.043796
00128	0.002824	0.171001	0.043983
00129	0.003439	0.169761	0.044304
00130	0.003467	0.168122	0.044523
00131	0.003324	0.167467	0.044643
00132	0.003558	0.166743	0.044681
00133	0.003540	0.167180	0.044773
00134	0.003324	0.166674	0.044734
00135	0.003374	0.165641	0.044755
00136	0.002995	0.164727	0.044809
00137	0.003032	0.164621	0.044784
00138	0.003050	0.164012	0.044779
00139	0.002749	0.164079	0.044777
00140	0.002479	0.163247	0.044731
00141	0.002094	0.162834	0.044672
00142	0.002066	0.162198	0.044663
00143	0.001881	0.160075	0.044564
00144	0.001913	0.159611	0.044569
00145	0.001780	0.158105	0.044534
00146	0.001577	0.155857	0.044552
00147	0.001736	0.156786	0.044520
00148	0.001534	0.157025	0.044527
00149	0.001461	0.156425	0.044488
00150	0.001191	0.154211	0.044472
00151	0.001104	0.153781	0.044510
00152	0.001411	0.153020	0.044484
00153	0.001281	0.151811	0.044481
00154	0.000617	0.151862	0.044537
00155	0.000602	0.151039	0.044514
00156	0.000509	0.149983	0.044521
00157	0.000362	0.149226	0.044543
00158	0.000412	0.149638	0.044579
00159	0.000355	0.148162	0.044446
